period_code,quarter,half_year,year_month,year,month_temp,quarter_temp,half_year_temp,db_month_temp
20281406,2028_Q2,2028_H1,202806,2028,6,Q2,H1,1406
20281407,2028_Q3,2028_H2,202807,2028,7,Q3,H2,1407
20281408,2028_Q3,2028_H2,202808,2028,8,Q3,H2,1408
20281409,2028_Q3,2028_H2,202809,2028,9,Q3,H2,1409
20281410,2028_Q4,2028_H2,202810,2028,10,Q4,H2,1410
20281411,2028_Q4,2028_H2,202811,2028,11,Q4,H2,1411
20281412,2028_Q4,2028_H2,202812,2028,12,Q4,H2,1412
20291401,2029_Q1,2029_H1,202901,2029,1,Q1,H1,1401
20291402,2029_Q1,2029_H1,202902,2029,2,Q1,H1,1402
20291403,2029_Q1,2029_H1,202903,2029,3,Q1,H1,1403
20291404,2029_Q2,2029_H1,202904,2029,4,Q2,H1,1404
20291405,2029_Q2,2029_H1,202905,2029,5,Q2,H1,1405
20291406,2029_Q2,2029_H1,202906,2029,6,Q2,H1,1406
20291407,2029_Q3,2029_H2,202907,2029,7,Q3,H2,1407
20291408,2029_Q3,2029_H2,202908,2029,8,Q3,H2,1408
20291409,2029_Q3,2029_H2,202909,2029,9,Q3,H2,1409
20291410,2029_Q4,2029_H2,202910,2029,10,Q4,H2,1410
20291411,2029_Q4,2029_H2,202911,2029,11,Q4,H2,1411
20291412,2029_Q4,2029_H2,202912,2029,12,Q4,H2,1412
20301401,2030_Q1,2030_H1,203001,2030,1,Q1,H1,1401
20301402,2030_Q1,2030_H1,203002,2030,2,Q1,H1,1402
20301403,2030_Q1,2030_H1,203003,2030,3,Q1,H1,1403
20301404,2030_Q2,2030_H1,203004,2030,4,Q2,H1,1404
20301405,2030_Q2,2030_H1,203005,2030,5,Q2,H1,1405
20301406,2030_Q2,2030_H1,203006,2030,6,Q2,H1,1406
20301407,2030_Q3,2030_H2,203007,2030,7,Q3,H2,1407
20301408,2030_Q3,2030_H2,203008,2030,8,Q3,H2,1408
20301409,2030_Q3,2030_H2,203009,2030,9,Q3,H2,1409
20301410,2030_Q4,2030_H2,203010,2030,10,Q4,H2,1410
20301411,2030_Q4,2030_H2,203011,2030,11,Q4,H2,1411
20301412,2030_Q4,2030_H2,203012,2030,12,Q4,H2,1412
20311401,2031_Q1,2031_H1,203101,2031,1,Q1,H1,1401
20311402,2031_Q1,2031_H1,203102,2031,2,Q1,H1,1402
20311403,2031_Q1,2031_H1,203103,2031,3,Q1,H1,1403
20311404,2031_Q2,2031_H1,203104,2031,4,Q2,H1,1404
20311405,2031_Q2,2031_H1,203105,2031,5,Q2,H1,1405
20311406,2031_Q2,2031_H1,203106,2031,6,Q2,H1,1406
20311407,2031_Q3,2031_H2,203107,2031,7,Q3,H2,1407
20311408,2031_Q3,2031_H2,203108,2031,8,Q3,H2,1408
20311409,2031_Q3,2031_H2,203109,2031,9,Q3,H2,1409
20311410,2031_Q4,2031_H2,203110,2031,10,Q4,H2,1410
20311411,2031_Q4,2031_H2,203111,2031,11,Q4,H2,1411
20311412,2031_Q4,2031_H2,203112,2031,12,Q4,H2,1412
20321401,2032_Q1,2032_H1,203201,2032,1,Q1,H1,1401
20321402,2032_Q1,2032_H1,203202,2032,2,Q1,H1,1402
20321403,2032_Q1,2032_H1,203203,2032,3,Q1,H1,1403
20321404,2032_Q2,2032_H1,203204,2032,4,Q2,H1,1404
20321405,2032_Q2,2032_H1,203205,2032,5,Q2,H1,1405
20321406,2032_Q2,2032_H1,203206,2032,6,Q2,H1,1406
20321407,2032_Q3,2032_H2,203207,2032,7,Q3,H2,1407
20321408,2032_Q3,2032_H2,203208,2032,8,Q3,H2,1408
20321409,2032_Q3,2032_H2,203209,2032,9,Q3,H2,1409
20321410,2032_Q4,2032_H2,203210,2032,10,Q4,H2,1410
20321411,2032_Q4,2032_H2,203211,2032,11,Q4,H2,1411
20321412,2032_Q4,2032_H2,203212,2032,12,Q4,H2,1412
20331401,2033_Q1,2033_H1,203301,2033,1,Q1,H1,1401
20331402,2033_Q1,2033_H1,203302,2033,2,Q1,H1,1402
20331403,2033_Q1,2033_H1,203303,2033,3,Q1,H1,1403
20331404,2033_Q2,2033_H1,203304,2033,4,Q2,H1,1404
20331405,2033_Q2,2033_H1,203305,2033,5,Q2,H1,1405
20331406,2033_Q2,2033_H1,203306,2033,6,Q2,H1,1406
20331407,2033_Q3,2033_H2,203307,2033,7,Q3,H2,1407
20331408,2033_Q3,2033_H2,203308,2033,8,Q3,H2,1408
20331409,2033_Q3,2033_H2,203309,2033,9,Q3,H2,1409
20331410,2033_Q4,2033_H2,203310,2033,10,Q4,H2,1410
20331411,2033_Q4,2033_H2,203311,2033,11,Q4,H2,1411
20331412,2033_Q4,2033_H2,203312,2033,12,Q4,H2,1412
20341401,2034_Q1,2034_H1,203401,2034,1,Q1,H1,1401
20341402,2034_Q1,2034_H1,203402,2034,2,Q1,H1,1402
20341403,2034_Q1,2034_H1,203403,2034,3,Q1,H1,1403
20341404,2034_Q2,2034_H1,203404,2034,4,Q2,H1,1404
20341405,2034_Q2,2034_H1,203405,2034,5,Q2,H1,1405
20341406,2034_Q2,2034_H1,203406,2034,6,Q2,H1,1406
20341407,2034_Q3,2034_H2,203407,2034,7,Q3,H2,1407
20341408,2034_Q3,2034_H2,203408,2034,8,Q3,H2,1408
20341409,2034_Q3,2034_H2,203409,2034,9,Q3,H2,1409
20341410,2034_Q4,2034_H2,203410,2034,10,Q4,H2,1410
20341411,2034_Q4,2034_H2,203411,2034,11,Q4,H2,1411
20341412,2034_Q4,2034_H2,203412,2034,12,Q4,H2,1412
20351401,2035_Q1,2035_H1,203501,2035,1,Q1,H1,1401
20351402,2035_Q1,2035_H1,203502,2035,2,Q1,H1,1402
20351403,2035_Q1,2035_H1,203503,2035,3,Q1,H1,1403
20351404,2035_Q2,2035_H1,203504,2035,4,Q2,H1,1404
20351405,2035_Q2,2035_H1,203505,2035,5,Q2,H1,1405
20351406,2035_Q2,2035_H1,203506,2035,6,Q2,H1,1406
20351407,2035_Q3,2035_H2,203507,2035,7,Q3,H2,1407
20351408,2035_Q3,2035_H2,203508,2035,8,Q3,H2,1408
20351409,2035_Q3,2035_H2,203509,2035,9,Q3,H2,1409
20351410,2035_Q4,2035_H2,203510,2035,10,Q4,H2,1410
20351411,2035_Q4,2035_H2,203511,2035,11,Q4,H2,1411
20351412,2035_Q4,2035_H2,203512,2035,12,Q4,H2,1412
